# ----------------------------------------
# Toutes les données du site Web
# Sites référents
# 20201201-20211220
# ----------------------------------------

Source,Utilisateurs,Nouveaux utilisateurs,Sessions,Taux de rebond,Pages/session,Durée moyenne des sessions,Contact (Taux de conversion – Objectif 1),Contact (Réalisations de l'objectif 1),Contact (Valeur de l'objectif 1)
bottraffic249.xyz,371,261,400,"0,75 %","1,99",00:00:05,"0,00 %",0,"0,00 $US"
linkedin.com,180,148,288,"53,82 %","2,65",00:03:37,"0,35 %",1,"0,00 $US"
edelweb.fr,177,176,181,"91,16 %","1,17",00:00:04,"0,00 %",0,"0,00 $US"
monster.fr,60,46,74,"31,08 %","2,65",00:02:38,"0,00 %",0,"0,00 $US"
offre-demploi.monster.fr,28,24,32,"31,25 %","2,81",00:03:24,"0,00 %",0,"0,00 $US"
m.facebook.com,21,21,21,"95,24 %","1,14",00:00:11,"0,00 %",0,"0,00 $US"
app.livestorm.co,15,12,21,"61,90 %","1,95",00:01:55,"0,00 %",0,"0,00 $US"
lnkd.in,14,14,14,"57,14 %","2,57",00:00:52,"0,00 %",0,"0,00 $US"
t.co,13,10,13,"61,54 %","1,69",00:00:21,"0,00 %",0,"0,00 $US"
innoactive.io,12,12,13,"61,54 %","2,00",00:00:18,"0,00 %",0,"0,00 $US"
pbwsummit.com,12,12,12,"83,33 %","1,25",00:00:42,"0,00 %",0,"0,00 $US"
apec.fr,7,5,9,"33,33 %","3,33",00:02:19,"11,11 %",1,"0,00 $US"
fr.jooble.org,7,6,8,"62,50 %","2,12",00:01:31,"0,00 %",0,"0,00 $US"
fr.search.yahoo.com,7,7,7,"57,14 %","2,14",00:01:25,"0,00 %",0,"0,00 $US"
hopin.com,6,6,6,"83,33 %","1,50",00:00:06,"0,00 %",0,"0,00 $US"
emploi.developpez.com,5,5,9,"22,22 %","5,22",00:05:48,"0,00 %",0,"0,00 $US"
intranet.ups-tlse.fr,5,5,5,"0,00 %","12,00",00:09:15,"0,00 %",0,"0,00 $US"
joblift.fr,5,5,5,"20,00 %","3,40",00:01:54,"0,00 %",0,"0,00 $US"
l.facebook.com,5,5,10,"30,00 %","4,30",00:05:50,"0,00 %",0,"0,00 $US"
app.hopin.com,4,3,13,"46,15 %","3,62",00:03:32,"0,00 %",0,"0,00 $US"
cyberjobs.fr,4,3,6,"33,33 %","3,33",00:00:43,"0,00 %",0,"0,00 $US"
glassdoor.fr,4,4,6,"33,33 %","2,33",00:08:02,"0,00 %",0,"0,00 $US"
facebook.com,3,3,3,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
optioncarriere.com,3,3,3,"66,67 %","3,33",00:01:08,"0,00 %",0,"0,00 $US"
search.lilo.org,3,2,8,"62,50 %","7,88",00:09:58,"0,00 %",0,"0,00 $US"
192.168.208.10:8880,2,2,2,"100,00 %","1,00",00:00:00,"0,00 %",0,"0,00 $US"
boribar.com,2,2,2,"50,00 %","1,50",00:00:11,"0,00 %",0,"0,00 $US"
cercle-credo.com,2,1,2,"50,00 %","2,00",00:00:19,"0,00 %",0,"0,00 $US"
