;Identifiant du Tweet;Permalien du Tweet;Texte du Tweet;heure;impressions;engagements;taux d’engagement;Retweets;réponses;J'aime;clics sur le profil de l'utilisateur;clics sur l'URL;clics sur le hashtag;ouvertures des détails;clics sur le permalien;ouvertures d'application;installations de l'application;abonnements ;envoyer le Tweet par email;composer le numéro;vues du média;engagements avec le média;impressions sponsorisé;engagements sponsorisé;taux d’engagement sponsorisé;Retweets sponsorisé;réponses sponsorisé;J'aime sponsorisé;clics sur le profil de l'utilisateur sponsorisé;clics sur l'URL sponsorisé;clics sur le hashtag sponsorisé;ouvertures des détails sponsorisé;clics sur le permalien sponsorisé;ouvertures d'application sponsorisé;installations de l'application sponsorisé;abonnements  sponsorisé;envoyer le Tweet par email sponsorisé;composer le numéro sponsorisé;vues du média sponsorisé;engagements avec le média sponsorisé
0;1321023675529912320;https://twitter.com/groupe_onx/status/1321023675529912320;"⚠ Une vague de #cyberattaques vise le web français. 
Retrouvez les conseils de https://t.co/DhTZ8VT0bB pour faire face à la ""défiguration"" de site web.
🛡 N'hésitez pas à faire appels à nos experts pour sécuriser vos systèmes et protéger vos données : https://t.co/HnxN8WIGsW https://t.co/tOYHzaIXsU";2020-10-27 09:39:00+00:00;356;1;0.0028089887640449;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;1318902404658724867;https://twitter.com/groupe_onx/status/1318902404658724867;"Nos équipes sont présentes à #UTHD, organisée par Infranum, Avvica et IdealCO, et ont pu suivre l'intervention de Cédric O, sur le plan de relance du gouvernement pour lutter contre la #FractureNumerique territoriale.
https://t.co/X2BSPvqVIC
#Fibre #FTTH #THD https://t.co/6CqIOL7sFj";2020-10-21 13:10:00+00:00;465;8;0.0172043010752688;0;0;1;0;1;0;4;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;1318463064707076097;https://twitter.com/groupe_onx/status/1318463064707076097;A l'occasion du #CyberMois, cette année sur le chantage numérique avec les #rançongiciels et de chantage à la webcam, nous vous invitons à vous rendre sur leur site dédié qui rappelle des recommandations simples pour se protéger du chantage numérique : https://t.co/1ECnIDHY9E https://t.co/vV0RienOhs;2020-10-20 08:04:00+00:00;361;6;0.0166204986149584;0;0;2;1;0;0;3;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;1316678759131623425;https://twitter.com/groupe_onx/status/1316678759131623425;"🖤 #JaimeMaBoite ❤ Chez ON-X, nous aimons nous réunir pour passer des moments festifs... Et en temps normal, les occasions ne manquent pas ! 🥳
Bonne #FêteDesEntreprises à tous !
#EspritdEquipe #Convivialité #GestesBarrieres
https://t.co/xkBi2KXpBn https://t.co/rAc695tpfn";2020-10-15 09:54:00+00:00;524;22;0.0419847328244274;0;0;2;1;0;0;3;0;0;0;0;0;0;16;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;1315998237732614146;https://twitter.com/groupe_onx/status/1315998237732614146;Annulation du #PrivacyShield, maîtrise et gouvernance des données, #CloudDeConfiance, multi-cloud et interopérabilité... Retrouvez un article très complet de Solutions Numériques sur les enjeux du #CloudSouverain : https://t.co/WXUZ30XqPa;2020-10-13 12:50:00+00:00;355;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;1314143675035930624;https://twitter.com/groupe_onx/status/1314143675035930624;"#ImmersiveLearning ou comment renforcer la #mémorisation et l'#engagement des apprenants, grâce à l'immersion et l'expérimentation. A la clé : des gains en productivité et en contrôle qualité !
#réalitévirtuelle #maintenance #formation #industrie40 
https://t.co/Jz0Xa3R4gv https://t.co/CH4yKMn9WN";2020-10-08 10:00:00+00:00;315;7;0.0222222222222222;0;0;0;0;0;0;3;0;0;0;0;0;0;19;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6;1311958130629185536;https://twitter.com/groupe_onx/status/1311958130629185536;🎙Retrouvez le podcast avec Nicolas Cantu, l'un de nos experts en #Blockchain et #Cryptomonnaies, co-fondateur de Chain Accelerator. Au programme : évolutions des architectures et des technologies, #résilience des #infras, agilité pour les #supplychains https://t.co/TOu8T0vfVF https://t.co/zlI44j6OB1;2020-10-02 09:16:00+00:00;385;6;0.0155844155844155;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;1331620735190757383;https://twitter.com/groupe_onx/status/1331620735190757383;📅 Ne ratez pas Jeudi 26/11 à 18h l'interview en #VR de Michael AMAR, l'un de nos experts en #Blockchain et #cryptomonnaies, également fondateur et co-host du Paris Blockchain Week Summit. https://t.co/oZyKp4gEY5;2020-11-25 15:28:00+00:00;760;11;0.0144736842105263;2;0;2;1;0;1;5;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;1331191388537561089;https://twitter.com/groupe_onx/status/1331191388537561089;"🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/e5eY7xAKyo
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/Y42lwdJ9HP";2020-11-24 11:02:00+00:00;505;14;0.0277227722772277;1;0;0;0;2;0;8;0;0;0;0;0;0;36;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;1329368918499135495;https://twitter.com/groupe_onx/status/1329368918499135495;📢 Ne ratez pas les 9 et 10/12 la #PBWS2020, la plus grande conférence d'Europe dédiée à la #Blockchain et aux #cryptomonnaies. Inscrivez-vous dès maintenant et profitez de 30 % de réduction sur vos tickets 👉 https://t.co/IQVfzzQeIH https://t.co/KyFrO3AH73;2020-11-19 10:20:00+00:00;1607;21;0.0130678282514001;3;0;4;0;4;0;9;0;0;0;0;0;0;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
