"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"1376890589065711616","https://twitter.com/groupe_onx/status/1376890589065711616","🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/lIsXRhhkZN
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/r0Dv4UvBl8","2021-03-30 13:34 +0000","908.0","3.0","0.003303964757709251","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1375037678379487236","https://twitter.com/groupe_onx/status/1375037678379487236","[E-JOB DATING] Nos équipes recrutement participent aujourd'hui au forum virtuel organisé par Toulouse Ynov Campus, dédié aux métiers du #digital et de l'#informatique. Bon entretien à tous les étudiants !
Retrouvez nos offres d'emploi sur notre site 👉 https://t.co/xkBi2KXpBn https://t.co/0A7EWW8z5D","2021-03-25 10:51 +0000","910.0","4.0","0.004395604395604396","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374645252485746697","https://twitter.com/groupe_onx/status/1374645252485746697","Nos équipes participent le jeudi 25 mars au forum virtuel organisé par Toulouse Ynov Campus, dédié aux métiers du #digital et de l'#informatique.
Vous êtes à la recherche d'un #stage ou d'une #alternance ? Rencontrez nos équipes #recrutement 👉 https://t.co/C9Do6KmVgo https://t.co/bhqNwo1JXN","2021-03-24 08:52 +0000","998.0","6.0","0.006012024048096192","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374338168997171201","https://twitter.com/groupe_onx/status/1374338168997171201","Dans le cadre d’une mission de #sécurité pour un opérateur télécoms, nos équipes #Pentest ont découvert une chaîne de vulnérabilités permettant à un attaquant de s'introduire à distance dans le réseau d'administration  de l'opérateur👉https://t.co/HtW5a6nNxV
#CVE #cybersécurité https://t.co/GF9zA8JcWe","2021-03-23 12:32 +0000","1571.0","26.0","0.016549968173138127","4.0","0.0","3.0","3.0","6.0","0.0","9.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1372510145113157634","https://twitter.com/groupe_onx/status/1372510145113157634","Nos équipes s'installent dans de nouveaux locaux à Lyon et recherchent de nouveaux talents #Cloud : #Consultant Cloud, Architecte Cloud, Ingénieur Cloud #DevOps. Retrouvez toutes nos offres sur notre site internet : https://t.co/X30nnwZK8a
#recrutement #innovation #numérique https://t.co/0rTMhjup2v","2021-03-18 11:28 +0000","1039.0","17.0","0.016361886429258902","1.0","0.0","2.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1371837076627451913","https://twitter.com/groupe_onx/status/1371837076627451913","Téléchargez le #LivreBlanc de notre partenaire 
@PTC_France  pour comprendre, à travers des témoignages, comment la #RéalitéAugmentée se positionne comme un allier stratégique pour les #industriels.
👉 https://t.co/rIW0Dfk2Pj
#PTC #industrie40 #AR https://t.co/lWdFI0EOyM","2021-03-16 14:53 +0000","1012.0","3.0","0.0029644268774703555","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1370031834231345152","https://twitter.com/groupe_onx/status/1370031834231345152","Chaque mois, nos experts #RGPD décryptent l’actualité liée à la #ViePrivée et à la protection des #DonnéesPersonnelles dans notre newsletter « Conseil #DPO ». 🧐📰
Retrouvez en vidéo les sujets abordés ce mois-ci ! 🎞
https://t.co/5ZX9P17qQ4","2021-03-11 15:20 +0000","986.0","19.0","0.019269776876267748","0.0","0.0","2.0","4.0","0.0","0.0","9.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1369234201543852032","https://twitter.com/groupe_onx/status/1369234201543852032","La #Blockchain répond de manière efficace et innovante aux enjeux des entreprises : fluidifier et sécuriser les chaînes d'approvisionnement, protéger les droits de propriétés, diffuser une information fiable et incorruptible, lutter contre la fraude... https://t.co/ISXRwsMgkG https://t.co/3eSz0htZMl","2021-03-09 10:30 +0000","961.0","5.0","0.005202913631633715","0.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1367439172093562886","https://twitter.com/groupe_onx/status/1367439172093562886","La #RéalitéAugmentée au service de l'#EfficacitéIindustrielle. Dans cet ex, les techniciens visualisent les canalisations souterraines pour gagner en efficacité lors des interventions, en réduisant le risque d'erreur. https://t.co/CdiiR8jyVf #AR #industrie40 https://t.co/2oYdnmaAED","2021-03-04 11:37 +0000","997.0","8.0","0.00802407221664995","0.0","0.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","17","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1366765484520189957","https://twitter.com/groupe_onx/status/1366765484520189957","27 #cyberattaques d'#hôpitaux en 2020 et depuis début 2021. Il est Urgent de renforcer la #sécurité informatique des acteurs de la santé, pour assurer la continuité des soins et protéger les données de #santé. 
https://t.co/e5eY7xAKyo https://t.co/Jj5SWSDIol","2021-03-02 15:00 +0000","1013.0","6.0","0.005923000987166831","0.0","0.0","1.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
